,Date,Week,SameDiv,SameConf,GameID,Team_V,Team_H,Final_V,Final_H,ML_V,ML_H,Injuries_V,Injuries_H,Division_V,Division_H,Conference_V,Conference_H,Szn_Win_per_V,Szn_Win_per_H,UD_tot_V,UD_tot_H,FV_tot_V,FV_tot_H,UD_win_per_V,UD_win_per_H,FV_win_per_V,FV_win_per_H,prev_win_rec_V,prev_win_rec_H,prev_loss_rec_V,prev_loss_rec_H,HC_win_per_V,HC_win_per_H,HC_g_V,HC_g_H,Prev_szn_win_per_V,Prev_szn_win_per_H,Off_Bye_Wk_V,Off_Bye_Wk_H,Winner
34,9/23/2018,3,N,N,34,Indianapolis,Philadelphia,16,20,247,-302,11,9,AFCSouth,NFCEast,AFC,NFC,0.5,0.5,2,1,0,1,0.5,1,0.5,0,1,1,1,1,0.477612,0.538462,67,91,0.25,0.813,N,N,H
35,9/23/2018,3,N,N,35,Cincinnati,Carolina,21,31,130,-150,10,6,AFCNorth,NFCSouth,AFC,NFC,1,0.5,1,1,1,1,1,0,1,1,2,1,0,1,0.524793,0.516304,242,184,0.438,0.688,N,N,H
36,9/23/2018,3,Y,Y,36,Tennessee,Jacksonville,9,6,390,-510,9,10,AFCSouth,AFCSouth,AFC,AFC,0.5,1,1,1,0,1,1,1,0.5,1,1,2,1,0,0.573333,0.416667,75,84,0.563,0.625,N,N,V
37,9/23/2018,3,Y,Y,37,NewOrleans,Atlanta,43,37,111,-131,6,9,NFCSouth,NFCSouth,NFC,NFC,0.5,0.5,0,0,2,2,0.5,0.5,0.5,0.5,1,1,1,1,0.653153,0.521127,444,71,0.688,0.625,N,N,V
38,9/23/2018,3,N,Y,38,Denver,Baltimore,14,27,199,-240,8,9,AFCWest,AFCNorth,AFC,AFC,1,0.5,0,0,2,2,0.5,0.5,1,0.5,2,1,0,1,0.388889,0.610169,18,236,0.313,0.563,N,N,H
39,9/23/2018,3,N,N,39,NYGiants,Houston,27,22,230,-280,5,15,NFCEast,AFCSouth,NFC,AFC,0,0,2,1,0,1,0,0,0.5,0,0,0,2,2,0.27451,0.476744,51,86,0.188,0.25,N,N,V
40,9/23/2018,3,N,Y,40,Oakland,Miami,20,28,127,-147,8,10,AFCWest,AFCEast,AFC,AFC,0,1,2,1,0,0,0,1,0.5,0.5,0,2,2,0,0.525581,0.409091,215,66,0.375,0.375,N,N,H
41,9/23/2018,3,N,Y,41,GreenBay,Washington,17,31,-142,122,5,11,NFCNorth,NFCEast,NFC,NFC,1,0.5,1,1,1,1,0,1,1,0,1,1,0,1,0.625498,0.408451,251,71,0.438,0.438,N,N,H
42,9/23/2018,3,N,N,42,Buffalo,Minnesota,27,6,948,-1703,9,10,AFCEast,NFCNorth,AFC,NFC,0,0.5,2,0,0,2,0,0.5,0.5,0.5,0,1,2,1,0.67033,0.565217,91,115,0.563,0.813,N,N,V
43,9/23/2018,3,N,N,43,SanFrancisco,KansasCity,27,38,230,-280,8,9,NFCWest,AFCWest,NFC,AFC,0.5,1,1,2,1,0,0,1,1,0.5,1,2,1,0,0.588015,0.639474,267,380,0.375,0.625,N,N,H
44,9/23/2018,3,N,N,44,LAChargers,LARams,23,35,263,-325,6,5,AFCWest,NFCWest,AFC,NFC,0.5,1,0,0,2,2,0.5,0.5,0.5,1,1,2,1,0,0.431373,0.565217,51,92,0.563,0.688,N,N,H
